,许可证编号,公司名称,注销日期,url
121,Z2016411000018,银信联（北京）支付有限公司,2022年6月26日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150434/index.html
122,Z2016611000016,北京广聚福支付有限公司,2022年6月26日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150437/index.html
123,Z2016811000014,国旅（北京）信息科技有限公司,2022年6月26日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150443/index.html
124,Z2019045000016,广西支付通商务服务有限公司,2022年6月26日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150491/index.html
125,Z2014944000019,汇通宝支付有限责任公司,2022年6月26日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150397/index.html
126,Z2017833000016,舟山市明生商盟科技服务有限公司,2022年6月27日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150461/index.html
127,Z2017933000015,浙江银付通信息科技有限公司,2022年6月27日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150464/index.html
128,Z2018534000016,安徽圣德天开信息科技有限公司,2022年7月27日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150482/index.html
129,Z2018135000019,福建省掌财通支付服务有限公司,2022年7月27日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150470/index.html
130,Z2015811000016,北京市银博盛世电子商务有限公司,2022年6月26日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150421/index.html
131,Z2016411000018,银信联（北京）支付有限公司,2022年6月26日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150434/index.html
132,Z2016611000016,北京广聚福支付有限公司,2022年6月26日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150437/index.html
133,Z2016811000014,国旅（北京）信息科技有限公司,2022年6月26日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150443/index.html
134,Z2019045000016,广西支付通商务服务有限公司,2022年6月26日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150491/index.html
135,Z2014944000019,汇通宝支付有限责任公司,2022年6月26日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150397/index.html
136,Z2017833000016,舟山市明生商盟科技服务有限公司,2022年6月27日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150461/index.html
137,Z2017933000015,浙江银付通信息科技有限公司,2022年6月27日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150464/index.html
138,Z2018534000016,安徽圣德天开信息科技有限公司,2022年7月27日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150482/index.html
139,Z2018135000019,福建省掌财通支付服务有限公司,2022年7月27日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150470/index.html
,许可证编号,公司名称,注销日期
0,Z2006633000011,浙江易士企业管理服务有限公司,2015年8月24日
1,Z2007044000012,广东益民旅游休闲服务有限公司,2015年10月8日
2,Z2003731000019,上海畅购企业服务有限公司,2016年1月5日
3,Z2016311000019,北京润京搜索投资有限公司,2016年10月20日
4,Z2004031000014,上海富友金融网络技术有限公司,2017年5月15日
5,Z2007331000014,上海华势信息科技有限公司,2017年5月15日
6,Z2007511000016,资和信网络支付有限公司,2017年5月15日
7,Z2008531000010,上海付费通企业服务有限公司,2017年5月15日
8,Z2017733000017,浙江盛炬支付技术有限公司,2017年5月15日
9,Z2024137000015,易通支付有限公司,2017年5月15日
10,Z2001731000013,杉德电子商务服务有限公司,2017年6月6日
11,Z2009031000013,通联商务服务有限公司,2017年6月6日
12,Z2022333000011,温州之民信息服务有限公司,2017年6月23日
13,Z2009231000011,上海通卡投资管理有限公司,2016年12月20日
14,Z2013731000018,普天银通支付有限公司,2017年6月26日
15,Z2015261000011,西安银信商通电子支付有限公司,2017年6月26日
16,Z2016011000012,北京交广科技发展有限公司,2017年6月26日
17,Z2016511000017,北京中诚信和支付有限公司,2017年6月26日
18,Z2017414000013,山西兰花商务支付有限公司,2017年6月26日
19,Z2017623000010,哈尔滨金联信支付科技有限公司,2017年6月26日
20,Z2018634000015,安徽瑞祥资讯服务有限公司,2017年6月26日
21,Z2018943000011,长沙商联电子商务有限公司,2017年6月26日
22,Z2019353000012,乐富支付有限公司,2017年6月26日
23,Z2019146000014,海南海岛一卡通支付网络有限公司,2017年6月26日
24,Z2019943000019,湖南财信金通电子商务有限责任公司,2018年1月5日
25,Z2020031000010,上海千悦企业管理有限公司,2018年1月5日
26,Z2021343000011,长沙星联商务服务有限公司,2018年1月5日
27,Z2021134000014,合肥新思维商业管理有限责任公司,2018年1月5日
28,Z2022811000012,北京中汇金支付服务有限公司,2018年7月6日
29,Z2023111000017,北京国华汇银科技有限公司,2018年7月6日
30,Z2023734000014,安徽长润支付商务有限公司,2018年7月6日
31,Z2024311000013,永超源支付科技有限公司,2018年7月6日
32,Z2025042000016,湖北蓝天星支付有限公司,2018年7月6日
33,Z2025265000016,新疆一卡通商务服务有限公司,2019年7月10日
34,Z2017213000016,御嘉支付有限公司,2020年9月8日
35,Z2022932000016,艾登瑞德（中国）有限公司,2020年9月8日
36,Z2012632000010,江苏省电子商务服务中心有限责任公司,2020年11月4日
37,Z2005634000012,安徽华夏通支付有限公司,2020年12月2日
38,Z2023014000015,山西金虎信息服务有限公司,2021年2月27日
39,Z2022534000018,安徽皖垦商务投资服务有限公司,2021年4月28日
40,Z2013531000010,上海大千商务服务有限公司,2021年7月8日
41,Z2003615000010,中网支付服务股份有限公司,2021年8月28日
42,Z2006135000014,厦门易通卡运营有限责任公司,2021年11月22日
43,Z2005213000011,河北一卡通电子支付服务有限公司,2021年12月22日
44,Z2009631000017,上海便利通电子商务有限公司,2021年12月22日
45,Z2009831000015,锦江国际商务有限公司,2021年12月22日
46,Z2009931000014,上海申城通商务有限公司,2021年12月22日
47,Z2015461000019,陕西邮政西邮寄电子支付有限责任公司,2022年1月12日
48,Z2023211000016,北京繁星山谷信息技术有限公司,2022年1月26日
49,Z2023835000012,福建省银通商务服务有限公司,2022年3月2日
50,Z2013031000015,上海新华传媒电子商务有限公司,2022年4月1日
51,Z2014737000010,山东城联一卡通支付有限责任公司,2022年5月16日
52,Z2018335000017,厦门象屿支付有限公司,2022年5月16日
53,Z2015144000014,深圳市商连商用电子技术有限公司,2022年5月20日
54,Z2019253000013,昆明卡互卡支付科技有限公司,2022年6月2日
55,Z2012931000018,上海亿付数字技术有限公司,2022年6月26日
56,Z2013131000014,上海商业高新技术发展有限公司,2022年6月26日
57,Z2013231000013,上海乐易信息技术有限公司,2022年6月26日
58,Z2013931000016,上海瑞得企业服务有限公司,2022年6月26日
59,Z2015711000017,商银信支付服务有限责任公司,2022年6月26日
60,Z2015811000016,北京市银博盛世电子商务有限公司,2022年6月26日
61,Z2016411000018,银信联（北京）支付有限公司,2022年6月26日
62,Z2016611000016,北京广聚福支付有限公司,2022年6月26日
63,Z2016811000014,国旅（北京）信息科技有限公司,2022年6月26日
64,Z2019045000016,广西支付通商务服务有限公司,2022年6月26日
65,Z2014944000019,汇通宝支付有限责任公司,2022年6月26日
66,Z2017833000016,舟山市明生商盟科技服务有限公司,2022年6月27日
67,Z2017933000015,浙江银付通信息科技有限公司,2022年6月27日
68,Z2018534000016,安徽圣德天开信息科技有限公司,2022年7月27日
69,Z2018135000019,福建省掌财通支付服务有限公司,2022年7月27日
70,Z2015811000016,北京市银博盛世电子商务有限公司,2022年6月26日
71,Z2016411000018,银信联（北京）支付有限公司,2022年6月26日
72,Z2016611000016,北京广聚福支付有限公司,2022年6月26日
73,Z2016811000014,国旅（北京）信息科技有限公司,2022年6月26日
74,Z2019045000016,广西支付通商务服务有限公司,2022年6月26日
75,Z2014944000019,汇通宝支付有限责任公司,2022年6月26日
76,Z2017833000016,舟山市明生商盟科技服务有限公司,2022年6月27日
77,Z2017933000015,浙江银付通信息科技有限公司,2022年6月27日
78,Z2018534000016,安徽圣德天开信息科技有限公司,2022年7月27日
79,Z2018135000019,福建省掌财通支付服务有限公司,2022年7月27日
80,Z2015811000016,北京市银博盛世电子商务有限公司,2022年6月26日
81,Z2016411000018,银信联（北京）支付有限公司,2022年6月26日
82,Z2016611000016,北京广聚福支付有限公司,2022年6月26日
83,Z2016811000014,国旅（北京）信息科技有限公司,2022年6月26日
84,Z2019045000016,广西支付通商务服务有限公司,2022年6月26日
85,Z2014944000019,汇通宝支付有限责任公司,2022年6月26日
86,Z2017833000016,舟山市明生商盟科技服务有限公司,2022年6月27日
87,Z2017933000015,浙江银付通信息科技有限公司,2022年6月27日
88,Z2018534000016,安徽圣德天开信息科技有限公司,2022年7月27日
89,Z2018135000019,福建省掌财通支付服务有限公司,2022年7月27日
90,Z2015811000016,北京市银博盛世电子商务有限公司,2022年6月26日
91,Z2016411000018,银信联（北京）支付有限公司,2022年6月26日
92,Z2016611000016,北京广聚福支付有限公司,2022年6月26日
93,Z2016811000014,国旅（北京）信息科技有限公司,2022年6月26日
94,Z2019045000016,广西支付通商务服务有限公司,2022年6月26日
95,Z2014944000019,汇通宝支付有限责任公司,2022年6月26日
96,Z2017833000016,舟山市明生商盟科技服务有限公司,2022年6月27日
97,Z2017933000015,浙江银付通信息科技有限公司,2022年6月27日
98,Z2018534000016,安徽圣德天开信息科技有限公司,2022年7月27日
99,Z2018135000019,福建省掌财通支付服务有限公司,2022年7月27日
100,Z2015811000016,北京市银博盛世电子商务有限公司,2022年6月26日
101,Z2016411000018,银信联（北京）支付有限公司,2022年6月26日
102,Z2016611000016,北京广聚福支付有限公司,2022年6月26日
103,Z2016811000014,国旅（北京）信息科技有限公司,2022年6月26日
104,Z2019045000016,广西支付通商务服务有限公司,2022年6月26日
105,Z2014944000019,汇通宝支付有限责任公司,2022年6月26日
106,Z2017833000016,舟山市明生商盟科技服务有限公司,2022年6月27日
107,Z2017933000015,浙江银付通信息科技有限公司,2022年6月27日
108,Z2018534000016,安徽圣德天开信息科技有限公司,2022年7月27日
109,Z2018135000019,福建省掌财通支付服务有限公司,2022年7月27日
110,Z2015811000016,北京市银博盛世电子商务有限公司,2022年6月26日
111,Z2016411000018,银信联（北京）支付有限公司,2022年6月26日
112,Z2016611000016,北京广聚福支付有限公司,2022年6月26日
113,Z2016811000014,国旅（北京）信息科技有限公司,2022年6月26日
114,Z2019045000016,广西支付通商务服务有限公司,2022年6月26日
115,Z2014944000019,汇通宝支付有限责任公司,2022年6月26日
116,Z2017833000016,舟山市明生商盟科技服务有限公司,2022年6月27日
117,Z2017933000015,浙江银付通信息科技有限公司,2022年6月27日
118,Z2018534000016,安徽圣德天开信息科技有限公司,2022年7月27日
119,Z2018135000019,福建省掌财通支付服务有限公司,2022年7月27日
120,Z2015811000016,北京市银博盛世电子商务有限公司,2022年6月26日
121,Z2016411000018,银信联（北京）支付有限公司,2022年6月26日
122,Z2016611000016,北京广聚福支付有限公司,2022年6月26日
123,Z2016811000014,国旅（北京）信息科技有限公司,2022年6月26日
124,Z2019045000016,广西支付通商务服务有限公司,2022年6月26日
125,Z2014944000019,汇通宝支付有限责任公司,2022年6月26日
126,Z2017833000016,舟山市明生商盟科技服务有限公司,2022年6月27日
127,Z2017933000015,浙江银付通信息科技有限公司,2022年6月27日
128,Z2018534000016,安徽圣德天开信息科技有限公司,2022年7月27日
129,Z2018135000019,福建省掌财通支付服务有限公司,2022年7月27日
130,Z2015811000016,北京市银博盛世电子商务有限公司,2022年6月26日
131,Z2016411000018,银信联（北京）支付有限公司,2022年6月26日
132,Z2016611000016,北京广聚福支付有限公司,2022年6月26日
133,Z2016811000014,国旅（北京）信息科技有限公司,2022年6月26日
134,Z2019045000016,广西支付通商务服务有限公司,2022年6月26日
135,Z2014944000019,汇通宝支付有限责任公司,2022年6月26日
136,Z2017833000016,舟山市明生商盟科技服务有限公司,2022年6月27日
137,Z2017933000015,浙江银付通信息科技有限公司,2022年6月27日
138,Z2018534000016,安徽圣德天开信息科技有限公司,2022年7月27日
139,Z2018135000019,福建省掌财通支付服务有限公司,2022年7月27日
,许可证编号,公司名称,注销日期
0,Z2006633000011,浙江易士企业管理服务有限公司,2015年8月24日
1,Z2007044000012,广东益民旅游休闲服务有限公司,2015年10月8日
2,Z2003731000019,上海畅购企业服务有限公司,2016年1月5日
3,Z2016311000019,北京润京搜索投资有限公司,2016年10月20日
4,Z2004031000014,上海富友金融网络技术有限公司,2017年5月15日
5,Z2007331000014,上海华势信息科技有限公司,2017年5月15日
6,Z2007511000016,资和信网络支付有限公司,2017年5月15日
7,Z2008531000010,上海付费通企业服务有限公司,2017年5月15日
8,Z2017733000017,浙江盛炬支付技术有限公司,2017年5月15日
9,Z2024137000015,易通支付有限公司,2017年5月15日
10,Z2001731000013,杉德电子商务服务有限公司,2017年6月6日
11,Z2009031000013,通联商务服务有限公司,2017年6月6日
12,Z2022333000011,温州之民信息服务有限公司,2017年6月23日
13,Z2009231000011,上海通卡投资管理有限公司,2016年12月20日
14,Z2013731000018,普天银通支付有限公司,2017年6月26日
15,Z2015261000011,西安银信商通电子支付有限公司,2017年6月26日
16,Z2016011000012,北京交广科技发展有限公司,2017年6月26日
17,Z2016511000017,北京中诚信和支付有限公司,2017年6月26日
18,Z2017414000013,山西兰花商务支付有限公司,2017年6月26日
19,Z2017623000010,哈尔滨金联信支付科技有限公司,2017年6月26日
20,Z2018634000015,安徽瑞祥资讯服务有限公司,2017年6月26日
21,Z2018943000011,长沙商联电子商务有限公司,2017年6月26日
22,Z2019353000012,乐富支付有限公司,2017年6月26日
23,Z2019146000014,海南海岛一卡通支付网络有限公司,2017年6月26日
24,Z2019943000019,湖南财信金通电子商务有限责任公司,2018年1月5日
25,Z2020031000010,上海千悦企业管理有限公司,2018年1月5日
26,Z2021343000011,长沙星联商务服务有限公司,2018年1月5日
27,Z2021134000014,合肥新思维商业管理有限责任公司,2018年1月5日
28,Z2022811000012,北京中汇金支付服务有限公司,2018年7月6日
29,Z2023111000017,北京国华汇银科技有限公司,2018年7月6日
30,Z2023734000014,安徽长润支付商务有限公司,2018年7月6日
31,Z2024311000013,永超源支付科技有限公司,2018年7月6日
32,Z2025042000016,湖北蓝天星支付有限公司,2018年7月6日
33,Z2025265000016,新疆一卡通商务服务有限公司,2019年7月10日
34,Z2017213000016,御嘉支付有限公司,2020年9月8日
35,Z2022932000016,艾登瑞德（中国）有限公司,2020年9月8日
36,Z2012632000010,江苏省电子商务服务中心有限责任公司,2020年11月4日
37,Z2005634000012,安徽华夏通支付有限公司,2020年12月2日
38,Z2023014000015,山西金虎信息服务有限公司,2021年2月27日
39,Z2022534000018,安徽皖垦商务投资服务有限公司,2021年4月28日
40,Z2013531000010,上海大千商务服务有限公司,2021年7月8日
41,Z2003615000010,中网支付服务股份有限公司,2021年8月28日
42,Z2006135000014,厦门易通卡运营有限责任公司,2021年11月22日
43,Z2005213000011,河北一卡通电子支付服务有限公司,2021年12月22日
44,Z2009631000017,上海便利通电子商务有限公司,2021年12月22日
45,Z2009831000015,锦江国际商务有限公司,2021年12月22日
46,Z2009931000014,上海申城通商务有限公司,2021年12月22日
47,Z2015461000019,陕西邮政西邮寄电子支付有限责任公司,2022年1月12日
48,Z2023211000016,北京繁星山谷信息技术有限公司,2022年1月26日
49,Z2023835000012,福建省银通商务服务有限公司,2022年3月2日
50,Z2013031000015,上海新华传媒电子商务有限公司,2022年4月1日
51,Z2014737000010,山东城联一卡通支付有限责任公司,2022年5月16日
52,Z2018335000017,厦门象屿支付有限公司,2022年5月16日
53,Z2015144000014,深圳市商连商用电子技术有限公司,2022年5月20日
54,Z2019253000013,昆明卡互卡支付科技有限公司,2022年6月2日
55,Z2012931000018,上海亿付数字技术有限公司,2022年6月26日
56,Z2013131000014,上海商业高新技术发展有限公司,2022年6月26日
57,Z2013231000013,上海乐易信息技术有限公司,2022年6月26日
58,Z2013931000016,上海瑞得企业服务有限公司,2022年6月26日
59,Z2015711000017,商银信支付服务有限责任公司,2022年6月26日
60,Z2015811000016,北京市银博盛世电子商务有限公司,2022年6月26日
61,Z2016411000018,银信联（北京）支付有限公司,2022年6月26日
62,Z2016611000016,北京广聚福支付有限公司,2022年6月26日
63,Z2016811000014,国旅（北京）信息科技有限公司,2022年6月26日
64,Z2019045000016,广西支付通商务服务有限公司,2022年6月26日
65,Z2014944000019,汇通宝支付有限责任公司,2022年6月26日
66,Z2017833000016,舟山市明生商盟科技服务有限公司,2022年6月27日
67,Z2017933000015,浙江银付通信息科技有限公司,2022年6月27日
68,Z2018534000016,安徽圣德天开信息科技有限公司,2022年7月27日
69,Z2018135000019,福建省掌财通支付服务有限公司,2022年7月27日
70,Z2015811000016,北京市银博盛世电子商务有限公司,2022年6月26日
71,Z2016411000018,银信联（北京）支付有限公司,2022年6月26日
72,Z2016611000016,北京广聚福支付有限公司,2022年6月26日
73,Z2016811000014,国旅（北京）信息科技有限公司,2022年6月26日
74,Z2019045000016,广西支付通商务服务有限公司,2022年6月26日
75,Z2014944000019,汇通宝支付有限责任公司,2022年6月26日
76,Z2017833000016,舟山市明生商盟科技服务有限公司,2022年6月27日
77,Z2017933000015,浙江银付通信息科技有限公司,2022年6月27日
78,Z2018534000016,安徽圣德天开信息科技有限公司,2022年7月27日
79,Z2018135000019,福建省掌财通支付服务有限公司,2022年7月27日
80,Z2015811000016,北京市银博盛世电子商务有限公司,2022年6月26日
81,Z2016411000018,银信联（北京）支付有限公司,2022年6月26日
82,Z2016611000016,北京广聚福支付有限公司,2022年6月26日
83,Z2016811000014,国旅（北京）信息科技有限公司,2022年6月26日
84,Z2019045000016,广西支付通商务服务有限公司,2022年6月26日
85,Z2014944000019,汇通宝支付有限责任公司,2022年6月26日
86,Z2017833000016,舟山市明生商盟科技服务有限公司,2022年6月27日
87,Z2017933000015,浙江银付通信息科技有限公司,2022年6月27日
88,Z2018534000016,安徽圣德天开信息科技有限公司,2022年7月27日
89,Z2018135000019,福建省掌财通支付服务有限公司,2022年7月27日
90,Z2015811000016,北京市银博盛世电子商务有限公司,2022年6月26日
91,Z2016411000018,银信联（北京）支付有限公司,2022年6月26日
92,Z2016611000016,北京广聚福支付有限公司,2022年6月26日
93,Z2016811000014,国旅（北京）信息科技有限公司,2022年6月26日
94,Z2019045000016,广西支付通商务服务有限公司,2022年6月26日
95,Z2014944000019,汇通宝支付有限责任公司,2022年6月26日
96,Z2017833000016,舟山市明生商盟科技服务有限公司,2022年6月27日
97,Z2017933000015,浙江银付通信息科技有限公司,2022年6月27日
98,Z2018534000016,安徽圣德天开信息科技有限公司,2022年7月27日
99,Z2018135000019,福建省掌财通支付服务有限公司,2022年7月27日
100,Z2015811000016,北京市银博盛世电子商务有限公司,2022年6月26日
101,Z2016411000018,银信联（北京）支付有限公司,2022年6月26日
102,Z2016611000016,北京广聚福支付有限公司,2022年6月26日
103,Z2016811000014,国旅（北京）信息科技有限公司,2022年6月26日
104,Z2019045000016,广西支付通商务服务有限公司,2022年6月26日
105,Z2014944000019,汇通宝支付有限责任公司,2022年6月26日
106,Z2017833000016,舟山市明生商盟科技服务有限公司,2022年6月27日
107,Z2017933000015,浙江银付通信息科技有限公司,2022年6月27日
108,Z2018534000016,安徽圣德天开信息科技有限公司,2022年7月27日
109,Z2018135000019,福建省掌财通支付服务有限公司,2022年7月27日
110,Z2015811000016,北京市银博盛世电子商务有限公司,2022年6月26日
111,Z2016411000018,银信联（北京）支付有限公司,2022年6月26日
112,Z2016611000016,北京广聚福支付有限公司,2022年6月26日
113,Z2016811000014,国旅（北京）信息科技有限公司,2022年6月26日
114,Z2019045000016,广西支付通商务服务有限公司,2022年6月26日
115,Z2014944000019,汇通宝支付有限责任公司,2022年6月26日
116,Z2017833000016,舟山市明生商盟科技服务有限公司,2022年6月27日
117,Z2017933000015,浙江银付通信息科技有限公司,2022年6月27日
118,Z2018534000016,安徽圣德天开信息科技有限公司,2022年7月27日
119,Z2018135000019,福建省掌财通支付服务有限公司,2022年7月27日
120,Z2015811000016,北京市银博盛世电子商务有限公司,2022年6月26日
121,Z2016411000018,银信联（北京）支付有限公司,2022年6月26日
122,Z2016611000016,北京广聚福支付有限公司,2022年6月26日
123,Z2016811000014,国旅（北京）信息科技有限公司,2022年6月26日
124,Z2019045000016,广西支付通商务服务有限公司,2022年6月26日
125,Z2014944000019,汇通宝支付有限责任公司,2022年6月26日
126,Z2017833000016,舟山市明生商盟科技服务有限公司,2022年6月27日
127,Z2017933000015,浙江银付通信息科技有限公司,2022年6月27日
128,Z2018534000016,安徽圣德天开信息科技有限公司,2022年7月27日
129,Z2018135000019,福建省掌财通支付服务有限公司,2022年7月27日
130,Z2015811000016,北京市银博盛世电子商务有限公司,2022年6月26日
131,Z2016411000018,银信联（北京）支付有限公司,2022年6月26日
132,Z2016611000016,北京广聚福支付有限公司,2022年6月26日
133,Z2016811000014,国旅（北京）信息科技有限公司,2022年6月26日
134,Z2019045000016,广西支付通商务服务有限公司,2022年6月26日
135,Z2014944000019,汇通宝支付有限责任公司,2022年6月26日
136,Z2017833000016,舟山市明生商盟科技服务有限公司,2022年6月27日
137,Z2017933000015,浙江银付通信息科技有限公司,2022年6月27日
138,Z2018534000016,安徽圣德天开信息科技有限公司,2022年7月27日
139,Z2018135000019,福建省掌财通支付服务有限公司,2022年7月27日
,许可证编号,公司名称,注销日期,url
0,Z2006633000011,浙江易士企业管理服务有限公司,2015年8月24日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149878/index.html
1,Z2007044000012,广东益民旅游休闲服务有限公司,2015年10月8日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149881/index.html
2,Z2003731000019,上海畅购企业服务有限公司,2016年1月5日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149884/index.html
3,Z2016311000019,北京润京搜索投资有限公司,2016年10月20日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149887/index.html
4,Z2004031000014,上海富友金融网络技术有限公司,2017年5月15日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149890/index.html
5,Z2007331000014,上海华势信息科技有限公司,2017年5月15日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149893/index.html
6,Z2007511000016,资和信网络支付有限公司,2017年5月15日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149896/index.html
7,Z2008531000010,上海付费通企业服务有限公司,2017年5月15日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149899/index.html
8,Z2017733000017,浙江盛炬支付技术有限公司,2017年5月15日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149902/index.html
9,Z2024137000015,易通支付有限公司,2017年5月15日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149905/index.html
10,Z2001731000013,杉德电子商务服务有限公司,2017年6月6日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149908/index.html
11,Z2009031000013,通联商务服务有限公司,2017年6月6日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149911/index.html
12,Z2022333000011,温州之民信息服务有限公司,2017年6月23日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149914/index.html
13,Z2009231000011,上海通卡投资管理有限公司,2016年12月20日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149917/index.html
14,Z2013731000018,普天银通支付有限公司,2017年6月26日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149920/index.html
15,Z2015261000011,西安银信商通电子支付有限公司,2017年6月26日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149923/index.html
16,Z2016011000012,北京交广科技发展有限公司,2017年6月26日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149926/index.html
17,Z2016511000017,北京中诚信和支付有限公司,2017年6月26日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149929/index.html
